"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","SEX","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHOSIS_000001","PUBLISHED","2000","AFR","","GNQ","FMLE","56.5","56.48940","","","","",""
"WHOSIS_000001","PUBLISHED","2000","AFR","","GNQ","BTSX","54.3","54.31445","","","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","","GRC","MLE","75.5","75.51034","","","","",""
"WHOSIS_000001","PUBLISHED","2010","EUR","","GRC","FMLE","82.7","82.70878","","","","",""
"WHOSIS_000001","PUBLISHED","2010","EUR","","GRC","BTSX","80.1","80.09935","","","","",""
"WHOSIS_000001","PUBLISHED","2010","AMR","","GRD","MLE","69.2","69.20226","","","","",""
"WHOSIS_000001","PUBLISHED","2010","AMR","","GRD","FMLE","75.5","75.47548","","","","",""
"WHOSIS_000001","PUBLISHED","2010","AMR","","GRD","BTSX","72.0","71.96705","","","","",""
"WHOSIS_000001","PUBLISHED","2010","AMR","","GTM","MLE","65.8","65.81696","","","","",""
"WHOSIS_000001","PUBLISHED","2015","AMR","","GTM","FMLE","74.0","74.00925","","","","",""
"WHOSIS_000001","PUBLISHED","2015","AMR","","GTM","BTSX","70.9","70.94937","","","","",""
"WHOSIS_000001","PUBLISHED","2015","AMR","","GUY","MLE","62.3","62.31269","","","","",""
"WHOSIS_000001","PUBLISHED","2015","AMR","","GUY","FMLE","69.2","69.22475","","","","",""
"WHOSIS_000001","PUBLISHED","2015","AMR","","GUY","BTSX","65.6","65.58898","","","","",""
"WHOSIS_000001","PUBLISHED","2015","AMR","","HND","MLE","67.6","67.57335","","","","",""
"WHOSIS_000001","PUBLISHED","2019","AMR","","HND","MLE","70.7","70.67292","","","","",""
"WHOSIS_000001","PUBLISHED","2019","AMR","","HND","FMLE","73.2","73.16344","","","","",""
"WHOSIS_000001","PUBLISHED","2019","AMR","","HND","BTSX","71.9","71.93507","","","","",""
"WHOSIS_000001","PUBLISHED","2019","EUR","","HRV","MLE","75.5","75.53787","","","","",""
"WHOSIS_000001","PUBLISHED","2019","EUR","","HRV","FMLE","81.6","81.60278","","","","",""
"WHOSIS_000001","PUBLISHED","2019","EUR","","HRV","BTSX","78.6","78.63747","","","","",""
"WHOSIS_000001","PUBLISHED","2000","AMR","","HTI","FMLE","57.2","57.17622","","","","",""
"WHOSIS_000001","PUBLISHED","2000","AMR","","HTI","BTSX","57.0","57.04974","","","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","","HUN","MLE","67.1","67.06995","","","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","","HUN","FMLE","75.6","75.63371","","","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","","HUN","BTSX","71.3","71.33797","","","","",""
"WHOSIS_000001","PUBLISHED","2000","SEAR","","IDN","MLE","65.8","65.77052","","","","",""
"WHOSIS_000001","PUBLISHED","2010","SEAR","","IDN","MLE","67.5","67.53188","","","","",""
"WHOSIS_000001","PUBLISHED","2010","SEAR","","IDN","FMLE","71.0","71.03043","","","","",""
"WHOSIS_000001","PUBLISHED","2010","SEAR","","IDN","BTSX","69.3","69.25565","","","","",""
"WHOSIS_000001","PUBLISHED","2010","SEAR","","IND","MLE","65.7","65.68546","","","","",""
"WHOSIS_000001","PUBLISHED","2010","SEAR","","IND","FMLE","68.9","68.93996","","","","",""
"WHOSIS_000001","PUBLISHED","2010","SEAR","","IND","BTSX","67.2","67.22851","","","","",""
"WHOSIS_000001","PUBLISHED","2015","EUR","","IRL","MLE","79.3","79.32594","","","","",""
"WHOSIS_000001","PUBLISHED","2015","EUR","","IRL","FMLE","82.9","82.92957","","","","",""
"WHOSIS_000001","PUBLISHED","2015","EUR","","IRL","BTSX","81.1","81.13960","","","","",""
"WHOSIS_000001","PUBLISHED","2015","EMR","","IRN","MLE","75.0","74.96297","","","","",""
"WHOSIS_000001","PUBLISHED","2015","EMR","","IRN","FMLE","78.5","78.51698","","","","",""
"WHOSIS_000001","PUBLISHED","2015","EMR","","IRN","BTSX","76.7","76.66063","","","","",""
"WHOSIS_000001","PUBLISHED","2019","EMR","","IRQ","MLE","69.9","69.92992","","","","",""
"WHOSIS_000001","PUBLISHED","2019","EMR","","IRQ","FMLE","75.0","74.96682","","","","",""
"WHOSIS_000001","PUBLISHED","2019","EMR","","IRQ","BTSX","72.4","72.42317","","","","",""
"WHOSIS_000001","PUBLISHED","2019","EUR","","ISL","MLE","80.8","80.81141","","","","",""
"WHOSIS_000001","PUBLISHED","2019","EUR","","ISL","FMLE","83.9","83.86916","","","","",""
"WHOSIS_000001","PUBLISHED","2019","EUR","","ISL","BTSX","82.3","82.32826","","","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","","ISR","MLE","76.4","76.35535","","","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","","ISR","FMLE","80.7","80.66427","","","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","","ISR","BTSX","78.6","78.57471","","","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","","ITA","MLE","76.4","76.40755","","","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","","ITA","FMLE","82.1","82.14725","","","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","","ITA","BTSX","79.4","79.36485","","","","",""
"WHOSIS_000001","PUBLISHED","2010","AMR","","JAM","MLE","73.3","73.27067","","","","",""
"WHOSIS_000001","PUBLISHED","2010","AMR","","JAM","FMLE","78.5","78.51085","","","","",""
"WHOSIS_000001","PUBLISHED","2010","AMR","","JAM","BTSX","75.8","75.76660","","","","",""
"WHOSIS_000001","PUBLISHED","2010","EMR","","JOR","MLE","75.6","75.58890","","","","",""
"WHOSIS_000001","PUBLISHED","2010","EMR","","JOR","FMLE","77.6","77.61830","","","","",""
"WHOSIS_000001","PUBLISHED","2010","EMR","","JOR","BTSX","76.6","76.58584","","","","",""
"WHOSIS_000001","PUBLISHED","2015","WPR","","JPN","MLE","80.7","80.69969","","","","",""
"WHOSIS_000001","PUBLISHED","2015","WPR","","JPN","FMLE","86.4","86.41145","","","","",""
"WHOSIS_000001","PUBLISHED","2015","WPR","","JPN","BTSX","83.6","83.61682","","","","",""
"WHOSIS_000001","PUBLISHED","2015","EUR","","KAZ","MLE","67.4","67.42753","","","","",""
"WHOSIS_000001","PUBLISHED","2015","EUR","","KAZ","FMLE","76.2","76.21558","","","","",""
"WHOSIS_000001","PUBLISHED","2019","EUR","","KAZ","BTSX","74.0","73.95099","","","","",""
"WHOSIS_000001","PUBLISHED","2019","AFR","","KEN","MLE","63.7","63.69933","","","","",""
"WHOSIS_000001","PUBLISHED","2019","AFR","","KEN","FMLE","68.4","68.44287","","","","",""
"WHOSIS_000001","PUBLISHED","2019","AFR","","KEN","BTSX","66.1","66.08511","","","","",""
"WHOSIS_000001","PUBLISHED","2019","EUR","","KGZ","MLE","70.7","70.74789","","","","",""
"WHOSIS_000001","PUBLISHED","2019","EUR","","KGZ","FMLE","77.3","77.31073","","","","",""
"WHOSIS_000001","PUBLISHED","2000","WPR","","KHM","MLE","56.0","56.02896","","","","",""
"WHOSIS_000001","PUBLISHED","2000","WPR","","KHM","FMLE","61.2","61.24218","","","","",""
"WHOSIS_000001","PUBLISHED","2000","WPR","","KHM","BTSX","58.7","58.68463","","","","",""
"WHOSIS_000001","PUBLISHED","2000","WPR","","KIR","MLE","52.3","52.31359","","","","",""
"WHOSIS_000001","PUBLISHED","2000","WPR","","KIR","FMLE","59.4","59.40020","","","","",""
